filename, language, JSON, JavaScript, Todo, Handlebars, CSS, comment, blank, total
d:\Cartelle\Desktop\TPSITBOT\api\app.js, JavaScript, 0, 32, 0, 0, 0, 0, 8, 40
d:\Cartelle\Desktop\TPSITBOT\api\routes\administration.js, JavaScript, 0, 40, 0, 0, 0, 0, 6, 46
d:\Cartelle\Desktop\TPSITBOT\api\routes\api\admins.js, JavaScript, 0, 25, 0, 0, 0, 0, 3, 28
d:\Cartelle\Desktop\TPSITBOT\api\routes\api\events.js, JavaScript, 0, 64, 0, 0, 0, 0, 7, 71
d:\Cartelle\Desktop\TPSITBOT\api\routes\api\info.js, JavaScript, 0, 22, 0, 0, 0, 27, 9, 58
d:\Cartelle\Desktop\TPSITBOT\api\routes\login.js, JavaScript, 0, 21, 0, 0, 0, 0, 3, 24
d:\Cartelle\Desktop\TPSITBOT\api\services\groupService.js, JavaScript, 0, 170, 0, 0, 0, 0, 16, 186
d:\Cartelle\Desktop\TPSITBOT\api\services\loginService.js, JavaScript, 0, 21, 0, 0, 0, 0, 4, 25
d:\Cartelle\Desktop\TPSITBOT\api\static\scripts\administration.js, JavaScript, 0, 85, 0, 0, 0, 0, 9, 94
d:\Cartelle\Desktop\TPSITBOT\api\static\styles\style.css, CSS, 0, 0, 0, 0, 8, 0, 1, 9
d:\Cartelle\Desktop\TPSITBOT\api\views\administration.hbs, Handlebars, 0, 0, 0, 199, 0, 0, 4, 203
d:\Cartelle\Desktop\TPSITBOT\api\views\error.hbs, Handlebars, 0, 0, 0, 3, 0, 0, 0, 3
d:\Cartelle\Desktop\TPSITBOT\api\views\layouts\main.hbs, Handlebars, 0, 0, 0, 23, 0, 0, 5, 28
d:\Cartelle\Desktop\TPSITBOT\api\views\login.hbs, Handlebars, 0, 0, 0, 24, 0, 0, 2, 26
d:\Cartelle\Desktop\TPSITBOT\bot\commands\ban\ban.js, JavaScript, 0, 30, 0, 0, 0, 1, 4, 35
d:\Cartelle\Desktop\TPSITBOT\bot\commands\command.js, JavaScript, 0, 88, 0, 0, 0, 3, 8, 99
d:\Cartelle\Desktop\TPSITBOT\bot\commands\demote\demote.js, JavaScript, 0, 40, 0, 0, 0, 1, 3, 44
d:\Cartelle\Desktop\TPSITBOT\bot\commands\kick\kick.js, JavaScript, 0, 23, 0, 0, 0, 5, 3, 31
d:\Cartelle\Desktop\TPSITBOT\bot\commands\mute\mute.js, JavaScript, 0, 30, 0, 0, 0, 2, 4, 36
d:\Cartelle\Desktop\TPSITBOT\bot\commands\options\options.js, JavaScript, 0, 35, 0, 0, 0, 1, 3, 39
d:\Cartelle\Desktop\TPSITBOT\bot\commands\promote\promote.js, JavaScript, 0, 43, 0, 0, 0, 1, 3, 47
d:\Cartelle\Desktop\TPSITBOT\bot\commands\requestlogin\requestlogin.js, JavaScript, 0, 39, 0, 0, 0, 1, 3, 43
d:\Cartelle\Desktop\TPSITBOT\bot\commands\staff\staff.js, JavaScript, 0, 16, 0, 0, 0, 1, 3, 20
d:\Cartelle\Desktop\TPSITBOT\bot\commands\unban\unban.js, JavaScript, 0, 23, 0, 0, 0, 1, 4, 28
d:\Cartelle\Desktop\TPSITBOT\bot\commands\unmute\unmute.js, JavaScript, 0, 29, 0, 0, 0, 1, 5, 35
d:\Cartelle\Desktop\TPSITBOT\bot\commands\unwarn\unwarn.js, JavaScript, 0, 23, 0, 0, 0, 1, 4, 28
d:\Cartelle\Desktop\TPSITBOT\bot\commands\votekick\votekick.js, JavaScript, 0, 41, 0, 0, 0, 1, 3, 45
d:\Cartelle\Desktop\TPSITBOT\bot\commands\warn\warn.js, JavaScript, 0, 47, 0, 0, 0, 1, 4, 52
d:\Cartelle\Desktop\TPSITBOT\bot\commands\wordban\wordban.js, JavaScript, 0, 18, 0, 0, 0, 1, 3, 22
d:\Cartelle\Desktop\TPSITBOT\bot\events\callback.js, JavaScript, 0, 92, 0, 0, 0, 1, 5, 98
d:\Cartelle\Desktop\TPSITBOT\bot\events\command.js, JavaScript, 0, 0, 0, 0, 0, 0, 1, 1
d:\Cartelle\Desktop\TPSITBOT\bot\events\event.js, JavaScript, 0, 37, 0, 0, 0, 2, 6, 45
d:\Cartelle\Desktop\TPSITBOT\bot\events\join.js, JavaScript, 0, 65, 0, 0, 0, 1, 4, 70
d:\Cartelle\Desktop\TPSITBOT\bot\events\leave.js, JavaScript, 0, 17, 0, 0, 0, 1, 3, 21
d:\Cartelle\Desktop\TPSITBOT\bot\events\text.js, JavaScript, 0, 63, 0, 0, 0, 9, 6, 78
d:\Cartelle\Desktop\TPSITBOT\bot\services\bot.js, JavaScript, 0, 33, 0, 0, 0, 1, 4, 38
d:\Cartelle\Desktop\TPSITBOT\database\database.js, JavaScript, 0, 50, 0, 0, 0, 11, 5, 66
d:\Cartelle\Desktop\TPSITBOT\database\models\AuthToken.js, JavaScript, 0, 34, 0, 0, 0, 1, 2, 37
d:\Cartelle\Desktop\TPSITBOT\database\models\Ban.js, JavaScript, 0, 53, 0, 0, 0, 1, 4, 58
d:\Cartelle\Desktop\TPSITBOT\database\models\BannedWords.js, JavaScript, 0, 25, 0, 0, 0, 1, 3, 29
d:\Cartelle\Desktop\TPSITBOT\database\models\Captcha.js, JavaScript, 0, 16, 0, 0, 0, 1, 2, 19
d:\Cartelle\Desktop\TPSITBOT\database\models\Group.js, JavaScript, 0, 16, 0, 0, 0, 1, 2, 19
d:\Cartelle\Desktop\TPSITBOT\database\models\GroupMember.js, JavaScript, 0, 38, 0, 0, 0, 1, 2, 41
d:\Cartelle\Desktop\TPSITBOT\database\models\GroupOptions.js, JavaScript, 0, 46, 0, 0, 0, 1, 2, 49
d:\Cartelle\Desktop\TPSITBOT\database\models\Kick.js, JavaScript, 0, 44, 0, 0, 0, 1, 4, 49
d:\Cartelle\Desktop\TPSITBOT\database\models\Login.js, JavaScript, 0, 20, 0, 0, 0, 1, 2, 23
d:\Cartelle\Desktop\TPSITBOT\database\models\Mute.js, JavaScript, 0, 53, 0, 0, 0, 1, 5, 59
d:\Cartelle\Desktop\TPSITBOT\database\models\Permission.js, JavaScript, 0, 24, 0, 0, 0, 1, 2, 27
d:\Cartelle\Desktop\TPSITBOT\database\models\Role.js, JavaScript, 0, 16, 0, 0, 0, 1, 2, 19
d:\Cartelle\Desktop\TPSITBOT\database\models\Warn.js, JavaScript, 0, 50, 0, 0, 0, 1, 4, 55
d:\Cartelle\Desktop\TPSITBOT\database\services\group.js, JavaScript, 0, 84, 0, 0, 0, 0, 13, 97
d:\Cartelle\Desktop\TPSITBOT\database\services\users.js, JavaScript, 0, 125, 0, 0, 0, 0, 16, 141
d:\Cartelle\Desktop\TPSITBOT\index.js, JavaScript, 0, 10, 0, 0, 0, 0, 2, 12
d:\Cartelle\Desktop\TPSITBOT\package-lock.json, JSON, 1461, 0, 0, 0, 0, 0, 1, 1462
d:\Cartelle\Desktop\TPSITBOT\package.json, JSON, 22, 0, 0, 0, 0, 0, 1, 23
d:\Cartelle\Desktop\TPSITBOT\progetto.todo, Todo, 0, 0, 71, 0, 0, 0, 6, 77
Total, -, 1483, 2016, 71, 249, 8, 88, 243, 4158
